Model,Accuracy,Precision,Recall,F1-Score,Parameters (M),FLOPs (GFLOPs),Inference Time (s),Model Size (MB),Accuracy / GFLOP
MobileNetV2 (Baseline),0.98,0.980643539467069,0.98,0.979854443904063,2.227715,0.312917056,0.01050722599029541,8.72840404510498,3.1318203377191427
ConvNeXt V2-Inspired (Teacher),0.9733333333333334,0.9741876310272537,0.9733333333333333,0.9733188165920482,27.823971,4.46967168,0.036628349622090654,106.20690631866455,0.21776394398018364
Hybrid KD MobileNetV2 (Final),0.98,0.980643539467069,0.98,0.979854443904063,2.227715,0.312917056,0.009694337844848633,8.72931957244873,3.1318203377191427
